idx,Agro-forestry areas,Broad-leaved forest,Complex cultivation patterns,Coniferous forest,Discontinuous urban fabric,Land principally occupied by agriculture with significant areas of natural vegetation,Mixed forest,Non-irrigated arable land,Pastures,Peatbogs,Sea and ocean,Transitional woodland/shrub,Water bodies
597557,0,1,0,1,0,0,1,0,0,1,0,1,0
365546,0,1,0,0,0,1,1,1,0,0,0,1,0
599389,0,0,0,1,0,0,1,0,0,1,0,1,0
225963,0,1,1,0,0,0,1,1,1,0,0,0,0
588863,0,0,0,0,0,0,1,0,0,0,0,0,1
325559,0,0,0,0,0,0,0,1,0,0,0,0,0
364433,0,0,1,0,0,0,1,1,1,0,0,0,0
233494,0,0,0,1,0,0,0,0,0,0,0,1,0
600365,1,0,0,0,0,1,0,0,0,0,0,1,0
612419,1,1,0,0,0,0,0,1,1,0,0,0,0
228115,0,1,0,0,0,0,0,1,0,0,0,0,0
238451,0,0,0,1,0,1,0,1,0,0,0,0,1
392476,0,1,1,0,1,1,0,1,1,0,0,0,0
206949,0,0,0,0,0,0,0,1,0,0,0,1,1
127527,1,1,0,0,0,0,1,0,1,0,0,0,0
473081,0,0,0,0,0,1,0,0,0,0,0,0,0
564597,0,0,0,1,0,0,1,0,0,0,0,0,1
588119,0,0,0,1,0,1,1,0,0,0,0,1,0
244998,0,0,0,1,0,0,0,0,0,0,0,0,0
294993,0,0,0,1,0,0,0,0,1,0,0,0,0
154994,0,0,0,0,0,1,0,0,0,0,0,1,0
456721,0,0,0,0,0,0,0,0,0,0,1,0,0
223774,0,0,0,1,0,0,0,0,0,0,0,1,0
396070,0,0,0,0,0,0,0,0,1,0,0,0,0
641333,0,0,0,1,0,1,1,1,0,1,0,0,1
101285,0,1,1,0,1,1,0,0,0,0,0,1,0
228984,0,0,0,1,0,0,0,0,0,0,0,0,1
225259,0,0,0,0,0,1,0,1,1,0,0,0,0
553352,0,0,0,1,1,0,0,0,0,0,0,1,0
233358,0,0,0,0,0,0,1,0,0,0,0,1,1
615751,0,0,0,1,0,0,0,0,0,1,0,1,0
413833,0,0,0,0,1,0,0,1,1,0,0,0,0
471916,1,1,0,0,0,0,0,1,0,0,0,0,0
107292,0,0,0,1,0,0,1,1,0,0,0,0,1
8267,0,0,0,0,0,0,1,1,0,0,0,0,0
546834,0,0,0,0,0,0,0,0,0,0,0,0,0
250804,0,0,0,1,0,0,0,1,0,0,0,1,0
164067,0,0,0,0,0,0,0,0,0,0,0,0,1
87816,1,0,1,0,0,0,0,1,0,0,0,1,0
225024,0,1,0,1,0,1,1,1,0,0,0,0,0
613287,0,0,0,1,0,0,0,0,0,1,0,1,0
578436,0,0,0,1,0,1,1,1,0,0,0,1,0
302477,0,0,1,0,1,1,0,1,1,0,0,0,0
220590,0,0,0,1,1,1,0,1,1,0,0,0,0
612317,0,0,0,1,0,1,1,0,0,1,0,0,1
382569,0,0,0,0,1,0,1,0,1,0,0,0,0
617217,1,1,0,0,0,0,0,0,0,0,0,1,0
103313,0,0,0,0,0,1,1,1,0,0,0,0,0
194930,0,0,0,1,0,0,0,0,0,0,1,0,0
594059,1,0,0,0,0,0,0,1,0,0,0,0,0
295447,0,1,1,0,0,0,0,1,1,0,0,0,0
656823,1,0,0,0,0,0,0,1,0,0,0,1,0
337068,0,1,1,0,0,1,0,1,0,0,0,0,0
662817,0,0,0,1,0,0,0,0,0,1,0,1,0
653685,0,0,0,0,0,0,1,0,0,1,0,1,0
113432,0,0,0,1,0,1,1,1,0,0,0,1,0
399435,0,0,0,0,0,0,0,0,0,0,1,0,0
329120,0,1,0,0,0,1,0,0,0,0,0,1,0
649297,1,1,0,0,0,0,0,0,1,0,0,0,0
287433,0,0,0,0,0,0,0,0,0,0,1,0,0
12602,0,0,0,0,0,0,1,1,1,0,0,0,0
77955,0,0,0,1,0,0,0,0,0,0,0,0,1
79996,0,0,0,0,0,0,0,1,0,0,0,0,0
319677,0,0,0,1,0,0,1,1,0,0,0,0,0
570299,0,0,0,1,0,0,1,0,0,0,0,0,1
312280,0,0,0,1,0,1,1,1,0,0,0,0,0
360165,0,0,0,1,1,1,1,1,0,0,0,0,0
411003,0,0,0,1,1,0,0,0,1,0,0,0,0
475784,0,0,0,0,0,0,0,0,0,0,1,0,0
132977,0,0,1,0,0,1,0,0,0,0,0,0,0
16153,0,0,0,1,0,0,1,1,1,0,0,0,1
502594,0,0,0,0,0,0,0,1,1,0,0,0,0
567176,0,0,0,1,0,0,1,1,0,0,0,1,0
100343,1,1,0,0,0,0,0,0,0,0,0,1,0
445436,0,0,0,1,0,0,1,0,0,0,0,0,1
187608,0,0,1,0,0,0,0,1,0,0,0,0,0
578884,0,0,0,1,0,0,1,0,0,0,0,0,1
75871,0,0,0,1,0,0,1,0,0,0,0,0,1
449779,0,0,0,0,0,0,0,1,1,0,0,0,0
675307,1,1,0,0,0,0,1,0,0,0,0,1,0
283682,0,0,0,1,0,1,1,0,0,0,0,0,0
37348,0,0,1,0,0,0,0,1,1,0,0,0,0
618491,0,0,0,1,0,0,1,1,0,1,0,1,0
350037,0,0,0,1,0,0,1,0,0,0,0,0,1
352465,0,0,0,0,0,0,0,0,0,0,0,0,1
542782,0,0,0,0,0,0,0,0,0,0,0,0,0
609241,1,0,0,0,0,1,0,0,0,0,0,1,0
266864,0,0,0,1,0,0,0,0,0,0,0,0,0
155614,0,1,1,0,0,1,0,0,0,0,0,1,0
313728,0,0,0,1,0,1,1,0,0,0,1,0,0
223853,0,0,0,1,0,0,1,0,0,1,0,0,0
490460,0,0,0,0,0,1,1,1,0,0,0,0,0
526537,0,0,0,1,1,0,1,1,0,0,1,0,0
221334,0,1,0,0,0,0,0,1,1,0,0,0,0
102375,0,0,0,0,0,0,0,1,0,0,0,0,0
48670,1,1,0,0,0,0,1,0,0,0,0,1,1
291075,0,0,0,0,0,0,0,0,0,0,1,0,0
118782,0,0,0,1,0,0,1,0,0,0,0,0,1
320629,0,0,0,1,0,1,1,1,0,0,0,1,0
255523,0,0,0,1,0,0,1,1,0,0,0,1,0
147839,0,1,1,1,1,1,0,0,0,0,0,1,0
35753,0,0,0,0,0,0,0,1,1,0,0,0,0
498559,0,0,0,0,0,0,0,1,1,0,0,0,0
543144,0,0,0,0,0,0,0,0,0,0,0,0,0
188914,0,0,0,0,0,0,1,1,1,0,0,0,0
71347,0,0,0,0,0,1,1,0,0,0,0,0,1
213629,0,1,1,0,0,1,0,0,0,0,0,0,0
529428,0,0,0,0,0,0,0,0,0,0,1,0,0
364573,0,1,1,0,0,0,0,1,0,0,0,0,0
524042,0,1,0,0,0,1,0,0,0,0,0,0,0
134953,0,1,0,0,0,1,0,0,0,0,0,1,0
566477,0,0,0,1,0,0,1,1,0,0,0,0,0
428493,0,0,0,1,0,0,1,0,0,0,0,0,1
367554,0,1,1,0,0,1,0,1,0,1,0,0,0
339323,0,1,0,0,0,1,0,1,0,0,0,0,0
